Original,Replacement
S_Phase,S-Phase
skin_wound,Wound
smooth_muscle,Smooth-Muscle
soft_tissue_Tumors,Soft-Tissue-Tumors
stem,Stem-Cell
stem_Cell,Stem-Cell
syndecan_4,Syndecan4
synovial_sarcoma,Sarcoma
synthesis_of_DNA,DNA-Synthesis
t_lymphocyte,T-Cell
tamoxifen_resistance,Tamoxifen-Resistance
TCA_cycle,TCA-cycle
TCEB3,TCEB3
TCR,T-Cell-Receptor
telomere_shortening,Telomere-Shortening
tgf,TGF
tgfB1,TGFB1
thyroid_carcinoma,Thyroid-Cancer
tight_junction,Tight-Junction
tnf,TNF
tp53,TP53
tp63,TP63
tp73,TP73
transformation,Cancer
transformed,Cancer
trka,TrkA
trna,tRNA
TRNA_biosynthesis,tRNA-Biosynthesis
tsc2,TSC2
Tumor_infiltrating_monocytes,Tumor-Infiltrating-Monocytes
Tumor_invasiveness,Tumor-Invasiveness
Tumor_zone_peripheral,Invasion
Tumorigenesis,Cancer
unfolded,Unfolded-Protein
unfolded_protein_response,Unfolded-Protein-Response
uv_response,UV-Response
vegfa,VEGF-A&B
vegfb,VEGF-A&B
VEGFR1,VEGFR
VEGFR1_2,VEGFR
vhl,VHL
vincristine_resistance,Vincristine-Resistance
vitamin_d3,Vitamin-D3
ybx1,YBX1
yolk_sac_Tumor,Yolk-Sac-Tumor
translation,Protein-Translation
ifn,Interferon
